Variable / Field Name,Form Name,Section Header,Field Type,Field Label,Choices Calculations OR Slider Labels,Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Type,VisitID,VisitIDNum
concunits,biological_all,Metal_Urine,text,Analyte concentration units,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
BLOD,biological_all,Metal_Urine,Integer,Below Limit of Detection,"1, Yes, below detection limit; | 0, No",,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
LOD,biological_all,Metal_Urine,Decimal,Limit of Detection,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
analyte,biological_all,Metal_Urine,text,Analyte Name,"1, Cd | 2, Ba | 3, Co | 4, Be | 5, Hg | 6, Pt | 7, U | 8, Cs | 9, Cu | 10, Ni | 11, Sn | 12, V | 13, Zn | 14, Pb | 15, Tl | 16, As | 17, Mo | 18, Sb | 19, W | 20, Cr | 21, Mn | 22, Se",,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
analyte_full,biological_all,Metal_Urine,text,Full Analyte Name,"1, Cadmium | 2, Barium | 3, Cobalt | 4, Beryllium | 5, Mercury | 6, Platinum | 7, Uranium | 8, Cesium | 9, Copper | 10, Nickel | 11, Tin | 12, Vanadium | 13, Zinc | 14, Lead | 15, Thallium | 16, Arsenic | 17, Molybdenum | 18, Antimony | 19, Tungsten | 20, Chromium | 21, Manganese | 22, Selenium",,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
date_analyzed,biological_all,Metal_Urine,Date of Analysis,,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
analysis_source,biological_all,Metal_Urine,text,Source of the Data,"1, NSF",,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
analysis_method,biological_all,Metal_Urine,text,Method of Analysis ,1-100,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
notes,biological_all,Metal_Urine,text,Notes,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
batch,biological_all,Metal_Urine,Integer,Batch Number  ,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
sample_type,biological_all,Metal_Urine,text,Sample Matrix,,,,,,,,,,,,,,Biological Data,V3 (Third Visit),3
studyid,biological_all,Metal_Urine,text,Participant ID,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
conc,biological_all,Metal_Urine,Decimal,Analyte concentration ,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
concunits,biological_all,Metal_Urine,text,Analyte concentration units,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
BLOD,biological_all,Metal_Urine,Integer,Below Limit of Detection,"1, Yes, below detection limit; | 0, No",,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
LOD,biological_all,Metal_Urine,Decimal,Limit of Detection,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
analyte,biological_all,Metal_Urine,text,Analyte Name,"1, Cd | 2, Ba | 3, Co | 4, Be | 5, Hg | 6, Pt | 7, U | 8, Cs | 9, Cu | 10, Ni | 11, Sn | 12, V | 13, Zn | 14, Pb | 15, Tl | 16, As | 17, Mo | 18, Sb | 19, W | 20, Cr | 21, Mn | 22, Se",,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
analyte_full,biological_all,Metal_Urine,text,Full Analyte Name,"1, Cadmium | 2, Barium | 3, Cobalt | 4, Beryllium | 5, Mercury | 6, Platinum | 7, Uranium | 8, Cesium | 9, Copper | 10, Nickel | 11, Tin | 12, Vanadium | 13, Zinc | 14, Lead | 15, Thallium | 16, Arsenic | 17, Molybdenum | 18, Antimony | 19, Tungsten | 20, Chromium | 21, Manganese | 22, Selenium",,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
date_analyzed,biological_all,Metal_Urine,Date of Analysis,,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
analysis_source,biological_all,Metal_Urine,text,Source of the Data,"1, NSF",,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
analysis_method,biological_all,Metal_Urine,text,Method of Analysis ,1-100,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
notes,biological_all,Metal_Urine,text,Notes,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
batch,biological_all,Metal_Urine,Integer,Batch Number  ,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
sample_type,biological_all,Metal_Urine,text,Sample Matrix,,,,,,,,,,,,,,Biological Data,V4 Fourth Visit (Delivery),4
studyid,biological_all,PAH,text,Participant ID,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
conc,biological_all,PAH,Decimal,Analyte concentration ,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
concunits,biological_all,PAH,text,Analyte concentration units,,,,,,,,,,,,,,Biological Data,V1 (Initial Visit),1
