Variable / Field Name,Form Name,Section Header,VisitID,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Type
depress,third_visit,SENTIMIENTOS Y CONDUCTAS,,radio,Me sent�a deprimida.,"1, (1)-Rara vez o Nunca (menos de un d�a) | 2, (2)-Alg�n o Poco Tiempo (1-2 D�as) | 3, (3)-Ocasionalmente o u tiempo moderado de 3-4 d�as | 4, (4)-Mayor�a o todo el tiempo | 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
effort,third_visit,SENTIMIENTOS Y CONDUCTAS,,radio,Me sent�a que todo lo que hacia era un esfuerzo,"1, (1)-Rara vez o Nunca (menos de un d�a) | 2, (2)-Alg�n o Poco Tiempo (1-2 D�as) | 3, (3)-Ocasionalmente o u tiempo moderado de 3-4 d�as | 4, (4)-Mayor�a o todo el tiempo | 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
hope,third_visit,SENTIMIENTOS Y CONDUCTAS,,radio,Me sent�a esperanzada sobre el futuro,"1, (1)-Rara vez o Nunca (menos de un d�a) | 2, (2)-Alg�n o Poco Tiempo (1-2 D�as) | 3, (3)-Ocasionalmente o u tiempo moderado de 3-4 d�as | 4, (4)-Mayor�a o todo el tiempo | 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
lifefailure,third_visit,SENTIMIENTOS Y CONDUCTAS,,radio,Pens� que mi vida hab�a sido un fracaso.,"1, (1)-Rara vez o Nunca (menos de un d�a) | 2, (2)-Alg�n o Poco Tiempo (1-2 D�as) | 3, (3)-Ocasionalmente o u tiempo moderado de 3-4 d�as | 4, (4)-Mayor�a o todo el tiempo | 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
fearful,third_visit,SENTIMIENTOS Y CONDUCTAS,,radio,Me sent�a con miedo.,"1, (1)-Rara vez o Nunca (menos de un d�a) | 2, (2)-Alg�n o Poco Tiempo (1-2 D�as) | 3, (3)-Ocasionalmente o u tiempo moderado de 3-4 d�as | 4, (4)-Mayor�a o todo el tiempo | 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
restlesssleep,third_visit,SENTIMIENTOS Y CONDUCTAS,,radio,Mi sue�o era inquieto.,"1, (1)-Rara vez o Nunca (menos de un d�a) | 2, (2)-Alg�n o Poco Tiempo (1-2 D�as) | 3, (3)-Ocasionalmente o u tiempo moderado de 3-4 d�as | 4, (4)-Mayor�a o todo el tiempo | 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
happiness,third_visit,SENTIMIENTOS Y CONDUCTAS,,radio,Era fel�z.,"1, (1)-Rara vez o Nunca (menos de un d�a) | 2, (2)-Alg�n o Poco Tiempo (1-2 D�as) | 3, (3)-Ocasionalmente o u tiempo moderado de 3-4 d�as | 4, (4)-Mayor�a o todo el tiempo | 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
talking,third_visit,SENTIMIENTOS Y CONDUCTAS,,radio,Hablaba menos de lo habitual.,"1, (1)-Rara vez o Nunca (menos de un d�a) | 2, (2)-Alg�n o Poco Tiempo (1-2 D�as) | 3, (3)-Ocasionalmente o u tiempo moderado de 3-4 d�as | 4, (4)-Mayor�a o todo el tiempo | 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
loneliness,third_visit,SENTIMIENTOS Y CONDUCTAS,,radio,Me sent�a sola.,"1, (1)-Rara vez o Nunca (menos de un d�a) | 2, (2)-Alg�n o Poco Tiempo (1-2 D�as) | 3, (3)-Ocasionalmente o u tiempo moderado de 3-4 d�as | 4, (4)-Mayor�a o todo el tiempo | 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
unfriendly,third_visit,SENTIMIENTOS Y CONDUCTAS,,radio,La gente no era amistosa.,"1, (1)-Rara vez o Nunca (menos de un d�a) | 2, (2)-Alg�n o Poco Tiempo (1-2 D�as) | 3, (3)-Ocasionalmente o u tiempo moderado de 3-4 d�as | 4, (4)-Mayor�a o todo el tiempo | 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
enjoyment,third_visit,SENTIMIENTOS Y CONDUCTAS,,radio,Me disfrutaba la vida.,"1, (1)-Rara vez o Nunca (menos de un d�a) | 2, (2)-Alg�n o Poco Tiempo (1-2 D�as) | 3, (3)-Ocasionalmente o u tiempo moderado de 3-4 d�as | 4, (4)-Mayor�a o todo el tiempo | 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
crying,third_visit,SENTIMIENTOS Y CONDUCTAS,,radio,Me dan ataques de llanto.,"1, (1)-Rara vez o Nunca (menos de un d�a) | 2, (2)-Alg�n o Poco Tiempo (1-2 D�as) | 3, (3)-Ocasionalmente o u tiempo moderado de 3-4 d�as | 4, (4)-Mayor�a o todo el tiempo | 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
sadness,third_visit,SENTIMIENTOS Y CONDUCTAS,,radio,Me sent�a triste.,"1, (1)-Rara vez o Nunca (menos de un d�a) | 2, (2)-Alg�n o Poco Tiempo (1-2 D�as) | 3, (3)-Ocasionalmente o u tiempo moderado de 3-4 d�as | 4, (4)-Mayor�a o todo el tiempo | 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
dislike,third_visit,SENTIMIENTOS Y CONDUCTAS,,radio,Me sent�a que la gente no me querian.,"1, (1)-Rara vez o Nunca (menos de un d�a) | 2, (2)-Alg�n o Poco Tiempo (1-2 D�as) | 3, (3)-Ocasionalmente o u tiempo moderado de 3-4 d�as | 4, (4)-Mayor�a o todo el tiempo | 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
getgoing,third_visit,SENTIMIENTOS Y CONDUCTAS,,radio,Me sent�a que no podia arrancar,"1, (1)-Rara vez o Nunca (menos de un d�a) | 2, (2)-Alg�n o Poco Tiempo (1-2 D�as) | 3, (3)-Ocasionalmente o u tiempo moderado de 3-4 d�as | 4, (4)-Mayor�a o todo el tiempo | 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
listen,third_visit,APOYO SOCIAL,,radio,�Hay alguien disponible con quien pueda contar para  que la escuche cuando necesite hablar?,"1, (1)-Ning�n tiempo | 2, (2)-Poco tiempo | 3, (3)-Alg�n tiempo | 4, (4)-Casi o todo el tiempo | 5, (5)-Todo el tiempo | 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
advice,third_visit,APOYO SOCIAL,,radio,�Hay alguien disponible que le de consejos acerca de problemas?,"1, (1)-Ning�n tiempo | 2, (2)-Poco tiempo | 3, (3)-Alg�n tiempo | 4, (4)-Casi o todo el tiempo | 5, (5)-Todo el tiempo | 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
showlove,third_visit,APOYO SOCIAL,,radio,�Hay alguien disponible que le muestre amor y afecto?,"1, (1)-Ning�n tiempo | 2, (2)-Poco tiempo | 3, (3)-Alg�n tiempo | 4, (4)-Casi o todo el tiempo | 5, (5)-Todo el tiempo | 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
chorehelp,third_visit,APOYO SOCIAL,,radio,�Hay alguien disponible que ayude con los quehaceres diarios?,"1, (1)-Ning�n tiempo | 2, (2)-Poco tiempo | 3, (3)-Alg�n tiempo | 4, (4)-Casi o todo el tiempo | 5, (5)-Todo el tiempo | 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
socsupport,third_visit,APOYO SOCIAL,,radio,�Puede contar con alguien que le provea apoyo emocional (hablando sobre problemas o ayudandola a tomar una decision dificil)?,"1, (1)-Ning�n tiempo | 2, (2)-Poco tiempo | 3, (3)-Alg�n tiempo | 4, (4)-Casi o todo el tiempo | 5, (5)-Todo el tiempo | 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
soccontact,third_visit,APOYO SOCIAL,,radio,"�Tiene tanto contacto como el que usted quisiera con alguien con quine se siente cercana, o alguien en quien pueda confiar?","1, (1)-Ning�n tiempo | 2, (2)-Poco tiempo | 3, (3)-Alg�n tiempo | 4, (4)-Casi o todo el tiempo | 5, (5)-Todo el tiempo | 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
tvfhr,third_visit,EMBARAZO ACTUAL Y RESULTADOS DEL EXAMEN F�SICO,,text,Ritmo Frecuencia Cardiaco Fetal,,Numero (latidos por minuto),,,,,,,,,,,,Human Subject Data
tvcurrwt,third_visit,EMBARAZO ACTUAL Y RESULTADOS DEL EXAMEN F�SICO,,text,Peso actual de la madre,,Numero (libras),number,80,300,,,,,,,,,Human Subject Data
tvuterineheight,third_visit,EMBARAZO ACTUAL Y RESULTADOS DEL EXAMEN F�SICO,,text,Fondo uterino,,cm,,,,,,,,,,,,Human Subject Data
tvcurrwst,third_visit,EMBARAZO ACTUAL Y RESULTADOS DEL EXAMEN F�SICO,,text,Circunferencia de la cintura,,cm,,,,,,,,,,,,Human Subject Data
tvcurrabd,third_visit,EMBARAZO ACTUAL Y RESULTADOS DEL EXAMEN F�SICO,,text,Circunferencia abdominal,,cm,,,,,,,,,,,,Human Subject Data
tvcurrarm,third_visit,EMBARAZO ACTUAL Y RESULTADOS DEL EXAMEN F�SICO,,text,Circunferencia del brazo,,cm,,,,,,,,,,,,Human Subject Data
tvbcpskin,third_visit,EMBARAZO ACTUAL Y RESULTADOS DEL EXAMEN F�SICO,,text,Pliegue cut�neo bicipital,,cm,,,,,,,,,,,,Human Subject Data
tvtcpskin,third_visit,EMBARAZO ACTUAL Y RESULTADOS DEL EXAMEN F�SICO,,text,Pliegue cut�neo tricipital,,cm,,,,,,,,,,,,Human Subject Data
tvsspskin,third_visit,EMBARAZO ACTUAL Y RESULTADOS DEL EXAMEN F�SICO,,text,Pliegue cut�neo subescapular,,cm,,,,,,,,,,,,Human Subject Data
tvbpsys,third_visit,EMBARAZO ACTUAL Y RESULTADOS DEL EXAMEN F�SICO,,text,Presi�n arterial sist�lica,,mmHg,number,50,230,,,,,,,,,Human Subject Data
tvbpdias,third_visit,EMBARAZO ACTUAL Y RESULTADOS DEL EXAMEN F�SICO,,text,Presi�n arterial diast�lica,,mmHg,number,30,140,,,,,,,,,Human Subject Data
tvtmp,third_visit,EMBARAZO ACTUAL Y RESULTADOS DEL EXAMEN F�SICO,,text,Temperatura,,Grados Celsios,number,31,41,,,,,,,,,Human Subject Data
tvurine,third_visit,EMBARAZO ACTUAL Y RESULTADOS DEL EXAMEN F�SICO,,radio,Se tomo la muestra de Orina,"1, S� | 0, No | 2, Pendiente | 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
tvurdate,third_visit,EMBARAZO ACTUAL Y RESULTADOS DEL EXAMEN F�SICO,,text,Fecha de toma de orina,,MM-DD-YYYY,date_mdy,,,,[tvurine]='1',,,,,,,Human Subject Data
tvblood,third_visit,EMBARAZO ACTUAL Y RESULTADOS DEL EXAMEN F�SICO,,radio,Se tomo la muestra de Sangre,"1, S� | 0, No | 2, Pendiente | 888, Reh�sa | 999, No Sabe",,,,,,,,,,,,,Human Subject Data
tvbldate,third_visit,EMBARAZO ACTUAL Y RESULTADOS DEL EXAMEN F�SICO,,text,Fecha de toma de sangre,,MM-DD-YYYY,date_mdy,,,,[tvblood]='1',,,,,,,Human Subject Data
tvendtime,third_visit,EMBARAZO ACTUAL Y RESULTADOS DEL EXAMEN F�SICO,,text,Hora al final de la tercera entrevista,,Hora Militar (hh:mm) (1:00pm = 13:00),time,,,,,,,,,,,Human Subject Data
mr3dateabst,med_rec_v3,unlabelled,,text,Date of data abstraction:,,MM-DD-YYYY,date_mdy,,,,,,,,,,,Human Subject Data
mr3data_abstctr,med_rec_v3,unlabelled,,text,Data Abstractor:,,25 characters,,,,,,,,,,,,Human Subject Data
mr3secsonog,med_rec_v3,Second Sonogram (> 20 weeks of Gestation),,radio,Second Sonogram:,"0, No ordered yet | 1, Yes",,,,,,,,,,,,,Human Subject Data
mr3secsonogdate,med_rec_v3,Second Sonogram (> 20 weeks of Gestation),,text,Date performed:,,MM-DD-YYYY,date_mdy,,,,[mr3secsonog]='1',,,,,,,Human Subject Data
mr3placenta,med_rec_v3,Second Sonogram (> 20 weeks of Gestation),,radio,Placenta Grade Report:,"0, Not Reported | 1, Yes",,,,,,[mr3secsonog]='1',,,,,,,Human Subject Data
mr3placgrade,med_rec_v3,Second Sonogram (> 20 weeks of Gestation),,text,Placenta Grade:,,25 characters,,,,,[mr3placenta]='1',,,,,,,Human Subject Data
mr3placposit,med_rec_v3,Second Sonogram (> 20 weeks of Gestation),,text,Position:,,25 characters,,,,,[mr3placenta]='1',,,,,,,Human Subject Data
mr3amnioflu,med_rec_v3,Second Sonogram (> 20 weeks of Gestation),,radio,Amniotic Fluid:,"0, Not Reported | 1, Yes",,,,,,[mr3placenta]='1',,,,,,,Human Subject Data
mr3repamnioflu,med_rec_v3,Second Sonogram (> 20 weeks of Gestation),,text,Amniotic Fluid Report:,,25 characters,,,,,[mr3amnioflu]='1',,,,,,,Human Subject Data
mr3cervleng,med_rec_v3,Second Sonogram (> 20 weeks of Gestation),,radio,Cervical Length:,"0, Not Reported | 1, Yes",,,,,,[mr3secsonog]='1',,,,,,,Human Subject Data
mr3repcervlengmm,med_rec_v3,Second Sonogram (> 20 weeks of Gestation),,text,Cervical Length (mm):,,,number,,,,[mr3cervleng]='1',,,,,,,Human Subject Data
mr3repcervlengcm,med_rec_v3,Second Sonogram (> 20 weeks of Gestation),,text,Cervical Length (cm):,,,number,,,,[mr3cervleng]='1',,,,,,,Human Subject Data
mr3funelling,med_rec_v3,Second Sonogram (> 20 weeks of Gestation),,radio,Funnelling:,"0, No | 1, Yes | 2, Not Reported",,,,,,[mr3secsonog]='1',,,,,,,Human Subject Data
mr3hemodynamic,med_rec_v3,Second Sonogram (> 20 weeks of Gestation),,radio,Hemodynamic Changes:,"0, No | 1, Yes | 2, Not Reported",,,,,,[mr3secsonog]='1',,,,,,,Human Subject Data
mr3comments,med_rec_v3,Second Sonogram (> 20 weeks of Gestation),,radio,Comments:,"0, No | 1, Yes",,,,,,[mr3secsonog]='1',,,,,,,Human Subject Data
mr3commentsrep,med_rec_v3,Second Sonogram (> 20 weeks of Gestation),,text,Specify Comments:,,250 characters,,,,,[mr3comments]='1',,,,,,,Human Subject Data
mr3gestagesonw,med_rec_v3,Second Sonogram (> 20 weeks of Gestation),,text,GA by Second Sonogram (WW):,,Weeks,number,,,,,,,,,,,Human Subject Data
mr3gestagesond,med_rec_v3,Second Sonogram (> 20 weeks of Gestation),,text,GA by Second Sonogram (DD):,,Days,number,,,,,,,,,,,Human Subject Data
mr3gestagewlmp,med_rec_v3,Second Sonogram (> 20 weeks of Gestation),,text,GA by LMP WW (Med Rec):,,Weeks,number,,,,,,,,,,,Human Subject Data
mr3gestagedlmp,med_rec_v3,Second Sonogram (> 20 weeks of Gestation),,text,GA by LMP DD (Med Rec):,,Days,number,,,,,,,,,,,Human Subject Data
mr3bloodp,med_rec_v3,PRENATAL VISIT - Vital Signs,,radio,Blood Presure:,"0, Not Reported | 1, Yes",,,,,,,,,,,,,Human Subject Data
mr3bpsyst,med_rec_v3,PRENATAL VISIT - Vital Signs,,text,Systolic:,,mmHg,number,50,230,,[mr3bloodp]='1',,,,,,,Human Subject Data
mr3bpdiast,med_rec_v3,PRENATAL VISIT - Vital Signs,,text,Diastolic:,,mmHg,number,30,140,,[mr3bloodp]='1',,,,,,,Human Subject Data
mr3pulser,med_rec_v3,PRENATAL VISIT - Vital Signs,,radio,Pulse:,"0, Not Reported | 1, Yes",,,,,,,,,,,,,Human Subject Data
mr3pulse,med_rec_v3,PRENATAL VISIT - Vital Signs,,text,Rate Pulse:,,beats/mins,,,,,[mr3pulser]='1',,,,,,,Human Subject Data
mr3respr,med_rec_v3,PRENATAL VISIT - Vital Signs,,radio,Respirations:,"0, Not Reported | 1, Yes",,,,,,,,,,,,,Human Subject Data
mr3resp,med_rec_v3,PRENATAL VISIT - Vital Signs,,text,Respirations/min,,b/min,,,,,[mr3respr]='1',,,,,,,Human Subject Data
mr3tempr,med_rec_v3,PRENATAL VISIT - Vital Signs,,radio,Temperature:,"0, Not Reported | 1, Yes",,,,,,,,,,,,,Human Subject Data
mr3temp,med_rec_v3,PRENATAL VISIT - Vital Signs,,text,Temperature Recorded:,,Grados Celsius,number,31,41,,[mr3tempr]='1',,,,,,,Human Subject Data
mr3iwght,med_rec_v3,PRENATAL VISIT - Vital Signs,,radio,Initial Weight:,"0, Not Reported | 1, Yes",,,,,,,,,,,,,Human Subject Data
mr3wghtlbr,med_rec_v3,PRENATAL VISIT - Vital Signs,,text,Initial Weight (Lbs),,pounds,number,80,300,,[mr3iwght]='1',,,,,,,Human Subject Data
mr3iwghtdate,med_rec_v3,PRENATAL VISIT - Vital Signs,,radio,Date of Initial Weight:,"0, Not Reported | 1, Yes",,,,,,[mr3iwght]='1',,,,,,,Human Subject Data
mr3datewhtinic,med_rec_v3,PRENATAL VISIT - Vital Signs,,text,Date of Initial Weight Reported:,,MM-DD-YYYY,date_mdy,,,,[mr3iwghtdate]='1',,,,,,,Human Subject Data
mr3currntwght,med_rec_v3,PRENATAL VISIT - Vital Signs,,radio,Current Weight,"0, Not Reported | 1, Yes",,,,,,,,,,,,,Human Subject Data
mr3currntwghtlb,med_rec_v3,PRENATAL VISIT - Vital Signs,,text,Current Weight (Lbs),,pounds,,,,,[mr3currntwght]='1',,,,,,,Human Subject Data
mr3datecurrntwght1,med_rec_v3,PRENATAL VISIT - Vital Signs,,radio,Date of Current Weight:,"0, Not Reported | 1, Yes",,,,,,[mr3currntwght]='1',,,,,,,Human Subject Data
mr3datecurrntwght,med_rec_v3,PRENATAL VISIT - Vital Signs,,text,Date of Current Weight Reported:,,MM-DD-YYYY,date_mdy,,,,[mr3datecurrntwght1]='1',,,,,,,Human Subject Data
mr3fhy,med_rec_v3,FETAL MEASURES,,radio,Fundal Height:,"0, Not Reported | 1, Yes",,,,,,,,,,,,,Human Subject Data
mr3fh,med_rec_v3,FETAL MEASURES,,text,Fundal Height (cms),,cms,,,,,[mr3fhy]='1',,,,,,,Human Subject Data
mr3fhty,med_rec_v3,FETAL MEASURES,,radio,Fetal Heart Tones:,"0, Not Reported | 1, Yes",,,,,,,,,,,,,Human Subject Data
mr3fht,med_rec_v3,FETAL MEASURES,,text,Fetal Heart Tones beats/min:,,beats/mins,number,60,300,,[mr3fhty]='1',,,,,,,Human Subject Data
mr3fposit,med_rec_v3,FETAL MEASURES,,radio,Fetal Position:,"1, Vx | 2, Br | 3, Tr | 0, Floating| 4, Not Reported",,,,,,,,,,,,,Human Subject Data
mr3vagbleed,med_rec_v3,PHYSICAL EXAM,,radio,Vaginal Bleeding:,"0, No | 1, Yes | 2, Not Reported",,,,,,,,,,,,,Human Subject Data
mr3watvagdsc,med_rec_v3,PHYSICAL EXAM,,radio,Watery Vaginal Discharge:,"0, No | 1, Yes | 2, Not Reported",,,,,,,,,,,,,Human Subject Data
mr3suppubp,med_rec_v3,PHYSICAL EXAM,,radio,Suprapubic Pain:,"0, No | 1, Yes | 2, Not Reported",,,,,,,,,,,,,Human Subject Data
mr3bckpain,med_rec_v3,PHYSICAL EXAM,,radio,Low Back Pain:,"0, No | 1, Yes | 2, Not Reported",,,,,,,,,,,,,Human Subject Data
mr3actfetus,med_rec_v3,PHYSICAL EXAM,,radio,Active Fetus:,"0, No | 1, Yes | 2, Not Reported",,,,,,,,,,,,,Human Subject Data
mr3nausea,med_rec_v3,PHYSICAL EXAM,,radio,Nausea/Vomiting,"0, No | 1, Yes | 2, Not Reported",,,,,,,,,,,,,Human Subject Data
mr3headache,med_rec_v3,PHYSICAL EXAM,,radio,Headache,"0, No | 1, Yes | 2, Not Reported",,,,,,,,,,,,,Human Subject Data
mr3dizziness,med_rec_v3,PHYSICAL EXAM,,radio,Dizziness,"0, No | 1, Yes | 2, Not Reported",,,,,,,,,,,,,Human Subject Data
mr3edem,med_rec_v3,PHYSICAL EXAM,,radio,Edema,"0, No | 1, Yes | 2, Not Reported",,,,,,,,,,,,,Human Subject Data
mr3edemy,med_rec_v3,PHYSICAL EXAM,,checkbox,Location of the Edema,"1, Face | 2, Hand | 3, Feet",,,,,,[mr3edem]='1',,,,,,,Human Subject Data
mr3pnvts,med_rec_v3,PHYSICAL EXAM,,radio,Taking Prenatal Vitamins (PNV) Daily:,"0, No | 1, Yes | 2, Not Reported",,,,,,,,,,,,,Human Subject Data
mr3appet,med_rec_v3,PHYSICAL EXAM,,radio,Good Appetite,"0, No | 1, Yes | 2, Not Reported",,,,,,,,,,,,,Human Subject Data
mr3medused,med_rec_v3,PRESCRIBED MEDICATION,,radio,Prescribed Medications:,"0, No | 1, Yes | 2, Not Reported",,,,,,,,,,,,,Human Subject Data
mr3meduseddate1,med_rec_v3,PRESCRIBED MEDICATION,,text,Date Prescribed (1),,MM-DD-YYYY,date_mdy,,,,[mr3medused]='1',,,,,,,Human Subject Data
mr3medused1,med_rec_v3,PRESCRIBED MEDICATION,,text,Name of Medication (1),,Hasta 25 letras,,,,,[mr3medused]='1',,,,,,,Human Subject Data
mr3meddose1,med_rec_v3,PRESCRIBED MEDICATION,,text,Dose (1),,Hasta 25 letras,,,,,[mr3medused]='1',,,,,,,Human Subject Data
mr3medfreq1,med_rec_v3,PRESCRIBED MEDICATION,,text,Frequency (1),,Hasta 25 letras,,,,,[mr3medused]='1',,,,,,,Human Subject Data
mr3meduseddate2,med_rec_v3,PRESCRIBED MEDICATION,,text,Date Prescribed (2),,MM-DD-YYYY,date_mdy,,,,[mr3medused]='1',,,,,,,Human Subject Data
mr3medused2,med_rec_v3,PRESCRIBED MEDICATION,,text,Name of Medication (2),,Hasta 25 letras,,,,,[mr3medused]='1',,,,,,,Human Subject Data
mr3meddose2,med_rec_v3,PRESCRIBED MEDICATION,,text,Dose (2),,Hasta 25 letras,,,,,[mr3medused]='1',,,,,,,Human Subject Data
mr3medfreq2,med_rec_v3,PRESCRIBED MEDICATION,,text,Frequency (2),,Hasta 25 letras,,,,,[mr3medused]='1',,,,,,,Human Subject Data
mr3meduseddate3,med_rec_v3,PRESCRIBED MEDICATION,,text,Date Prescribed (3),,MM-DD-YYYY,date_mdy,,,,[mr3medused]='1',,,,,,,Human Subject Data
mr3medused3,med_rec_v3,PRESCRIBED MEDICATION,,text,Name of Medication (3),,Hasta 25 letras,,,,,[mr3medused]='1',,,,,,,Human Subject Data
mr3meddose3,med_rec_v3,PRESCRIBED MEDICATION,,text,Dose (3),,Hasta 25 letras,,,,,[mr3medused]='1',,,,,,,Human Subject Data
mr3medfreq3,med_rec_v3,PRESCRIBED MEDICATION,,text,Frequency (3),,Hasta 25 letras,,,,,[mr3medused]='1',,,,,,,Human Subject Data
mr3meduseddate4,med_rec_v3,PRESCRIBED MEDICATION,,text,Date Prescribed (4),,MM-DD-YYYY,date_mdy,,,,[mr3medused]='1',,,,,,,Human Subject Data
mr3medused4,med_rec_v3,PRESCRIBED MEDICATION,,text,Name of Medication (4),,Hasta 25 letras,,,,,[mr3medused]='1',,,,,,,Human Subject Data
mr3meddose4,med_rec_v3,PRESCRIBED MEDICATION,,text,Dose (4),,Hasta 25 letras,,,,,[mr3medused]='1',,,,,,,Human Subject Data
mr3medfreq4,med_rec_v3,PRESCRIBED MEDICATION,,text,Frequency (4),,Hasta 25 letras,,,,,[mr3medused]='1',,,,,,,Human Subject Data
mr3meduseddate5,med_rec_v3,PRESCRIBED MEDICATION,,text,Date Prescribed (5),,MM-DD-YYYY,date_mdy,,,,[mr3medused]='1',,,,,,,Human Subject Data
mr3medused5,med_rec_v3,PRESCRIBED MEDICATION,,text,Name of Medication (5),,Hasta 25 letras,,,,,[mr3medused]='1',,,,,,,Human Subject Data
mr3meddose5,med_rec_v3,PRESCRIBED MEDICATION,,text,Dose (5),,Hasta 25 letras,,,,,[mr3medused]='1',,,,,,,Human Subject Data
mr3medfreq5,med_rec_v3,PRESCRIBED MEDICATION,,text,Frequency (5),,Hasta 25 letras,,,,,[mr3medused]='1',,,,,,,Human Subject Data
mr3afp,med_rec_v3,PRENATAL LABORATORY TESTS,,radio,Alfa Feto Protein (AFP):,"1, Positive | 2, Negative | 3, Not Ordered",,,,,,,,,,,,,Human Subject Data
mr3afpdate,med_rec_v3,PRENATAL LABORATORY TESTS,,text,AFP Test Date:,,MM-DD-YYYY,date_mdy,,,,[mr3afp]< '3',,,,,,,Human Subject Data
mr3vdrl,med_rec_v3,PRENATAL LABORATORY TESTS,,radio,VDRL:,"1, Positive | 2, Non Reactive | 3, Not Ordered",,,,,,,,,,,,,Human Subject Data
mr3vdrldate,med_rec_v3,PRENATAL LABORATORY TESTS,,text,VDRL Date:,,MM-DD-YYYY,date_mdy,,,,[mr3vdrl]<'3',,,,,,,Human Subject Data
mr3hepb,med_rec_v3,PRENATAL LABORATORY TESTS,,radio,Hepatitis B:,"1, Positive | 2, Non Reactive | 3, Not Ordered",,,,,,,,,,,,,Human Subject Data
mr3hepbdate,med_rec_v3,PRENATAL LABORATORY TESTS,,text,Hepatitis B Date:,,MM-DD-YYYY,date_mdy,,,,[mr3hepb]<'3',,,,,,,Human Subject Data
mr3hiv,med_rec_v3,PRENATAL LABORATORY TESTS,,radio,HIV:,"1, Positive | 2, Non Reactive | 3, Not Ordered",,,,,,,,,,,,,Human Subject Data
mr3hivdate,med_rec_v3,PRENATAL LABORATORY TESTS,,text,HIV Date:,,MM-DD-YYYY,date_mdy,,,,[mr3hiv]<'3',,,,,,,Human Subject Data
mr3gc,med_rec_v3,PRENATAL LABORATORY TESTS,,radio,Neisseria (GC):,"1, Positive | 2, Negative | 3, Not Ordered",,,,,,,,,,,,,Human Subject Data
mr3gcdate,med_rec_v3,PRENATAL LABORATORY TESTS,,text,Neisseria (GC) Date:,,MM-DD-YYYY,date_mdy,,,,[mr3gc]<'3',,,,,,,Human Subject Data
mr3ct,med_rec_v3,PRENATAL LABORATORY TESTS,,radio,Chlamydia trachomatis (CT):,"1, Positive | 2, Negative | 3, Not Ordered",,,,,,,,,,,,,Human Subject Data
mr3ctdate,med_rec_v3,PRENATAL LABORATORY TESTS,,text,Chlamydia trachomatis (CT) Date:,,MM-DD-YYYY,date_mdy,,,,[mr3ct]<'3',,,,,,,Human Subject Data
mr350grglucr,med_rec_v3,PRENATAL LABORATORY TESTS,,radio,1 Hour 50g Glucose Test:,"0, Not Reported | 1, Yes",,,,,,,,,,,,,Human Subject Data
mr350grglucdate,med_rec_v3,PRENATAL LABORATORY TESTS,,text,1 Hour 50g Glucose Test Date:,,MM-DD-YYYY,date_mdy,,,,[mr350grglucr]='1',,,,,,,Human Subject Data
mr350grgluc,med_rec_v3,PRENATAL LABORATORY TESTS,,text,1  Hour 50g Glucose Result:,,mlU/L,,,,,[mr350grglucr]='1',,,,,,,Human Subject Data
mr3othrtest,med_rec_v3,PRENATAL LABORATORY TESTS,,radio,Other Test Ordered:,"0, No | 1, Yes | 2, Not Reported","If Yes, please specify)",,,,,,,,,,,,Human Subject Data
mr3othrtest1,med_rec_v3,PRENATAL LABORATORY TESTS,,text,Test Name (1),,25 characters,,,,,[mr3othrtest]='1',,,,,,,Human Subject Data
mr3othrtestdate1,med_rec_v3,PRENATAL LABORATORY TESTS,,text,Test Date (1),,MM-DD-YYYY,date_mdy,,,,[mr3othrtest]='1',,,,,,,Human Subject Data
